,Ano,Mes,Tmax_conv,Mes_deslocado
247,1981,08,0.6563535483870968,7
248,1981,09,0.7541773333333335,8
249,1981,10,0.6454012903225808,9
250,1981,11,0.7888493333333333,10
251,1981,12,0.6909083870967743,11
252,1982,01,0.7525096774193549,0
253,1982,02,0.7947128571428572,1
254,1982,03,0.7402967741935484,2
255,1982,04,0.6772813333333334,3
256,1982,05,0.5870361290322581,4
257,1982,06,0.5232626666666667,5
258,1982,07,0.5470090322580645,6
259,1982,08,0.5968683870967741,7
260,1982,09,0.6911640000000001,8
261,1982,10,0.6948464516129031,9
262,1982,11,0.7544120000000001,10
263,1982,12,0.6970967741935483,11
264,1983,01,0.7864658064516128,0
265,1983,02,0.8041071428571429,1
266,1983,03,0.7370167741935485,2
267,1983,04,0.6830373333333333,3
268,1983,05,0.5709109677419353,4
269,1983,06,0.40756800000000015,5
270,1983,07,0.5906012903225806,6
271,1983,08,0.6613187096774195,7
272,1983,09,0.5146493333333333,8
273,1983,10,0.6789045161290324,9
274,1983,11,0.7546586666666668,10
275,1983,12,0.7725612903225807,11
276,1984,01,0.86524,0
277,1984,02,0.9029310344827588,1
278,1984,03,0.77864,2
279,1984,04,0.6504306666666666,3
280,1984,05,0.6634490322580644,4
281,1984,06,0.6166186666666666,5
282,1984,07,0.6325290322580647,6
283,1984,08,0.5740825806451615,7
284,1984,09,0.6715373333333334,8
285,1984,10,0.8246387096774195,9
286,1984,11,0.7692400000000001,10
287,1984,12,0.7039832258064516,11
288,1985,01,0.7842567741935484,0
289,1985,02,0.7992742857142856,1
290,1985,03,0.7442025806451613,2
291,1985,04,0.6558666666666666,3
292,1985,05,0.5823535483870967,4
293,1985,06,0.48594533333333345,5
294,1985,07,0.48958193548387086,6
295,1985,08,0.660691612903226,7
296,1985,09,0.6500533333333333,8
297,1985,10,0.793105806451613,9
298,1985,11,0.8414613333333332,10
299,1985,12,0.87192,11
300,1986,01,0.8291858064516131,0
301,1986,02,0.7939785714285714,1
302,1986,03,0.781178064516129,2
303,1986,04,0.7810506666666668,3
304,1986,05,0.6345251612903227,4
305,1986,06,0.617372,5
306,1986,07,0.563338064516129,6
307,1986,08,0.6180477419354838,7
308,1986,09,0.6091119999999999,8
309,1986,10,0.7211703225806452,9
310,1986,11,0.8189373333333332,10
311,1986,12,0.7479432258064516,11
312,1987,01,0.8022567741935485,0
313,1987,02,0.7288714285714288,1
314,1987,03,0.7898167741935485,2
315,1987,04,0.7317786666666668,3
316,1987,05,0.47435483870967743,4
317,1987,06,0.488244,5
318,1987,07,0.6276116129032258,6
319,1987,08,0.5900670967741937,7
320,1987,09,0.6365733333333332,8
321,1987,10,0.7187096774193549,9
322,1987,11,0.8083826666666667,10
323,1987,12,0.780698064516129,11
324,1988,01,0.8444425806451612,0
325,1988,02,0.729190344827586,1
326,1988,03,0.8180477419354839,2
327,1988,04,0.6952466666666668,3
328,1988,05,0.5104516129032259,4
329,1988,06,0.4763240000000001,5
330,1988,07,0.48383483870967725,6
331,1988,08,0.7016038709677421,7
332,1988,09,0.784832,8
333,1988,10,0.733793548387097,9
334,1988,11,0.8069373333333334,10
335,1988,12,0.8478129032258064,11
336,1989,01,0.7152348387096772,0
337,1989,02,0.7419499999999999,1
338,1989,03,0.7714825806451613,2
339,1989,04,0.7346253333333332,3
340,1989,05,0.5750748387096775,4
341,1989,06,0.49313199999999996,5
342,1989,07,0.5052012903225807,6
343,1989,08,0.5463638709677421,7
344,1989,09,0.601856,8
345,1989,10,0.6914980645161293,9
346,1989,11,0.750828,10
347,1989,12,0.7572748387096775,11
348,1990,01,0.7612425806451613,0
349,1990,02,0.8535085714285715,1
350,1990,03,0.822898064516129,2
351,1990,04,0.777496,3
352,1990,05,0.5458670967741936,4
353,1990,06,0.4973466666666667,5
354,1990,07,0.4090722580645161,6
355,1990,08,0.5405290322580645,7
356,1990,09,0.5744733333333334,8
357,1990,10,0.7668993548387097,9
358,1990,11,0.8110293333333334,10
359,1990,12,0.815836,11
360,1991,01,0.8035767741935484,0
361,1991,02,0.7984914285714286,1
362,1991,03,0.7299509677419354,2
363,1991,04,0.7052586666666667,3
364,1991,05,0.6086451612903228,4
365,1991,06,0.549696,5
366,1991,07,0.5400245161290322,6
367,1991,08,0.6407367741935484,7
368,1991,09,0.6942813333333333,8
369,1991,10,0.7542258064516127,9
370,1991,11,0.8150120000000001,10
371,1991,12,0.7830335483870969,11
372,1992,01,0.8541019354838708,0
373,1992,02,0.8000041379310348,1
374,1992,03,0.7185587096774193,2
375,1992,04,0.6511626666666666,3
376,1992,05,0.5606619354838711,4
377,1992,06,0.5791746666666667,5
378,1992,07,0.4833974193548387,6
379,1992,08,0.5471122580645162,7
380,1992,09,0.5681266666666667,8
381,1992,10,0.7180374193548387,9
382,1992,11,0.7626386666666667,10
383,1992,12,0.8042064516129033,11
384,1993,01,0.8196348387096772,0
385,1993,02,0.6966785714285713,1
